seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4012,100,mappo_off,450,0,804.007,835.5,1372.0,1.7547,1.0,329,0,804.007,1.0,,,804.007,1.0,329,0.0,0,0.5931,23.3
4020,75,dijkstra,338,112,235.673,211.5,400.1,1.9626,1.0,65,0,235.917,1.0,234.938,1.0,235.917,1.0,48,0.0,0,,3.4
4011,100,mappo_off,450,0,674.878,715.0,1214.1,1.825,1.0,280,0,674.878,1.0,,,674.878,1.0,280,0.0,0,0.3691,20.7
4012,100,dijkstra,450,0,663.998,642.0,1209.3,2.018,1.0,293,0,663.998,1.0,,,663.998,1.0,293,0.0,0,,7.5
4021,25,mappo_on,112,338,484.331,391.5,1028.2,2.8701,1.0,203,0,433.589,1.0,501.145,1.0,433.589,1.0,43,0.0,0,0.0,6.5
4022,100,dijkstra,450,0,581.113,533.0,1117.1,2.198,1.0,252,0,581.113,1.0,,,581.113,1.0,254,0.0,0,,6.6
4024,75,mappo_on,338,112,699.998,652.0,1349.7,2.1726,1.0,289,0,705.781,1.0,682.545,1.0,705.781,1.0,213,0.0,0,0.0,18.0
4016,75,mappo_on,338,112,205.264,206.0,346.2,1.7524,1.0,44,0,207.396,1.0,198.83,1.0,207.396,1.0,37,0.0,0,0.0,6.6
4017,25,mappo_on,112,338,509.427,450.5,1091.6,2.5628,1.0,236,0,480.768,1.0,518.923,1.0,480.768,1.0,52,0.0,0,0.0,5.6
4021,100,dijkstra,450,0,515.407,490.5,1059.3,2.3173,1.0,228,0,515.407,1.0,,,515.407,1.0,228,0.0,0,,7.8
4023,25,mappo_on,112,338,584.731,502.0,1209.8,2.5389,1.0,267,0,590.223,1.0,582.911,1.0,590.223,1.0,62,0.0,0,0.0,8.1
4010,25,mappo_off,112,338,1887.338,2003.5,2673.7,1.3876,1.0,419,0,1881.152,1.0,1889.388,1.0,1881.161,1.0,102,0.0,0,0.5477,20.4
4027,50,dijkstra,225,225,636.142,553.5,1380.1,2.6148,1.0,252,0,643.471,1.0,628.813,1.0,643.471,1.0,128,0.0,0,,5.1
4020,50,dijkstra,225,225,246.804,228.5,406.0,1.8775,1.0,73,0,246.436,1.0,247.173,1.0,246.436,1.0,30,0.0,0,,2.3
