seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4029,25,mappo_off,112,338,323.767,331.5,551.3,1.7771,1.0,127,0,342.705,1.0,317.491,1.0,342.705,1.0,38,0.0,0,0.3808,4.5
4016,50,dijkstra,225,225,215.216,203.5,385.1,1.971,1.0,44,0,222.973,1.0,207.458,1.0,222.973,1.0,25,0.0,0,,3.1
4013,25,dijkstra,112,338,582.742,567.0,1154.2,2.2338,1.0,258,0,598.562,1.0,577.5,1.0,598.562,1.0,63,0.0,0,,3.1
4027,50,mappo_on,225,225,729.049,747.0,1435.1,2.0282,1.0,283,0,835.929,1.0,622.169,1.0,835.929,1.0,160,0.0,0,0.5514,15.5
4016,10,mappo_off,45,405,201.593,185.0,348.1,2.003,1.0,41,0,276.267,1.0,193.296,1.0,276.267,1.0,10,0.0,0,0.5,2.4
4024,75,mappo_on,338,112,643.88,633.5,1160.1,1.9495,1.0,265,0,639.689,1.0,656.527,1.0,639.689,1.0,202,0.0,0,0.4965,16.9
4021,100,mappo_on,450,0,409.98,388.0,779.2,2.1598,1.0,176,0,409.98,1.0,,,409.98,1.0,176,0.0,0,0.3517,16.0
4015,100,mappo_off,450,0,544.24,527.5,1015.3,2.0743,1.0,256,0,544.24,1.0,,,544.24,1.0,256,0.0,0,0.3759,17.4
4022,100,mappo_off,450,0,533.364,523.5,979.1,2.0634,1.0,231,0,533.364,1.0,,,533.364,1.0,232,0.0,0,0.4982,17.1
4022,75,mappo_on,338,112,544.229,510.0,1017.9,2.1863,1.0,243,0,543.743,1.0,545.696,1.0,543.743,1.0,178,0.0,0,0.508,13.8
4011,10,dijkstra,45,405,711.984,681.5,1351.7,2.1734,1.0,290,0,769.4,1.0,705.605,1.0,769.4,1.0,26,0.0,0,,3.9
4014,10,mappo_off,45,405,300.116,293.0,513.0,1.8585,1.0,105,0,317.689,1.0,298.163,1.0,317.689,1.0,16,0.0,0,0.6504,3.0
4018,100,mappo_off,450,0,297.684,269.0,567.1,2.2701,1.0,121,0,297.684,1.0,,,297.684,1.0,122,0.0,0,0.3595,10.3
4028,75,dijkstra,338,112,695.369,641.5,1310.1,2.2262,1.0,280,0,724.157,1.0,608.491,1.0,724.157,1.0,210,0.0,0,,10.0
4029,10,mappo_on,45,405,270.207,265.0,461.0,1.9245,1.0,85,0,281.733,1.0,268.926,1.0,281.733,1.0,11,0.0,0,0.3901,2.7
4023,50,mappo_on,225,225,550.087,493.5,1063.0,2.2625,1.0,250,0,605.911,1.0,494.262,1.0,605.911,1.0,131,0.0,0,0.5205,12.8
4011,100,mappo_off,450,0,706.473,717.0,1267.4,1.8969,1.0,282,0,706.473,1.0,,,706.473,1.0,282,0.0,0,0.2727,22.9
4015,25,mappo_on,112,338,552.151,518.0,1033.3,2.1094,1.0,271,0,582.152,1.0,542.21,1.0,582.152,1.0,68,0.0,0,0.4572,6.9
4014,50,mappo_on,225,225,299.338,303.0,532.5,1.9358,1.0,98,0,319.307,1.0,279.369,1.0,319.307,1.0,62,0.0,0,0.522,6.7
4029,25,dijkstra,112,338,332.069,329.0,568.0,1.8071,1.0,132,0,318.446,1.0,336.583,1.0,318.446,1.0,32,0.0,0,,2.6
4023,50,dijkstra,225,225,570.678,525.0,1165.2,2.3145,1.0,253,0,564.204,1.0,577.151,1.0,564.204,1.0,121,0.0,0,,4.5
4022,75,dijkstra,338,112,583.164,525.5,1103.1,2.2828,1.0,248,0,582.769,1.0,584.357,1.0,582.769,1.0,183,0.0,0,,5.6
