checkpoint,seed,sample_idx,avg_travel_time,p50_travel_time,p90_travel_time,completion_rate,route_choice_nonzero_rate,baseline_avg_travel_time,baseline_p90_travel_time,greedy_ep74_avg_travel_time,greedy_ep74_p90_travel_time
ep74_best,6009,1,321.2,290.0,627.5000000000001,1.0,0.4415983606557377,268.5177777777778,468.0,311.30444444444447,569.1
ep74_best,6009,2,286.88666666666666,276.0,526.2,1.0,0.3963480128893663,268.5177777777778,468.0,311.30444444444447,569.1
ep74_best,6010,0,650.84,626.0,1216.3000000000002,1.0,0.4289713086074178,653.6777777777778,1255.0,634.3888888888889,1208.0
ep74_best,6010,1,637.9488888888889,630.0,1187.3000000000002,1.0,0.41294964028776976,653.6777777777778,1255.0,634.3888888888889,1208.0
ep74_best,6010,2,638.7644444444444,624.0,1178.0,1.0,0.39492753623188404,653.6777777777778,1255.0,634.3888888888889,1208.0
ep74_best,6011,0,364.34222222222223,364.0,649.1,1.0,0.42032967032967034,368.44666666666666,690.2,336.3488888888889,617.1
ep74_best,6011,1,362.11555555555555,370.5,649.2,1.0,0.3967495219885277,368.44666666666666,690.2,336.3488888888889,617.1
ep74_best,6011,2,330.14,319.5,595.1,1.0,0.38740458015267176,368.44666666666666,690.2,336.3488888888889,617.1
ep74_best,6012,0,318.2266666666667,294.5,605.2,1.0,0.3873943120676403,284.0888888888889,504.1,294.1911111111111,567.2
ep74_best,6012,1,329.81333333333333,330.5,596.0,1.0,0.3502454991816694,284.0888888888889,504.1,294.1911111111111,567.2
ep74_best,6012,2,309.7688888888889,295.0,562.3000000000001,1.0,0.35106382978723405,284.0888888888889,504.1,294.1911111111111,567.2
ep74_best,6013,0,565.26,564.5,1017.1,1.0,0.2861685214626391,568.7022222222222,1053.3000000000002,562.4577777777778,1003.2
ep74_best,6013,1,574.5555555555555,572.0,1028.0,1.0,0.27893890675241156,568.7022222222222,1053.3000000000002,562.4577777777778,1003.2
ep74_best,6013,2,565.7977777777778,569.5,1028.2,1.0,0.24351464435146444,568.7022222222222,1053.3000000000002,562.4577777777778,1003.2
ep74_best,6014,0,338.7733333333333,341.0,608.3000000000001,1.0,0.2780612244897959,401.1688888888889,751.1,338.99111111111114,619.1
ep74_best,6014,1,360.32,363.5,635.0,1.0,0.28883291351805207,401.1688888888889,751.1,338.99111111111114,619.1
ep74_best,6014,2,357.5777777777778,361.0,647.2,1.0,0.2815699658703072,401.1688888888889,751.1,338.99111111111114,619.1
ep74_best,6015,0,565.5466666666666,554.5,1066.4,1.0,0.46484375,1405.5733333333333,2384.3,611.8955555555556,1134.3000000000002
ep74_best,6015,1,612.9888888888889,619.0,1114.1,1.0,0.49089529590288317,1405.5733333333333,2384.3,611.8955555555556,1134.3000000000002
ep74_best,6015,2,580.54,561.5,1091.1,1.0,0.45919208573784004,1405.5733333333333,2384.3,611.8955555555556,1134.3000000000002
ep74_best,6016,0,580.0444444444445,531.0,1118.2,1.0,0.481981981981982,519.7533333333333,1037.8000000000004,557.8244444444445,1100.2
ep74_best,6016,1,561.4733333333334,511.5,1097.1,1.0,0.4483173076923077,519.7533333333333,1037.8000000000004,557.8244444444445,1100.2
ep74_best,6016,2,523.8266666666667,499.5,994.2,1.0,0.4755244755244755,519.7533333333333,1037.8000000000004,557.8244444444445,1100.2
ep74_best,6017,0,585.3866666666667,562.5,1084.0,1.0,0.47314814814814815,687.18,1285.8000000000002,590.3511111111111,1090.0
ep74_best,6017,1,580.7777777777778,571.5,1069.0000000000002,1.0,0.49764373232799247,687.18,1285.8000000000002,590.3511111111111,1090.0
ep74_best,6017,2,589.4066666666666,604.5,1100.1,1.0,0.49079189686924496,687.18,1285.8000000000002,590.3511111111111,1090.0
ep74_best,6018,0,675.8977777777778,668.0,1230.3000000000002,1.0,0.4445187165775401,1541.868888888889,2281.2,685.0711111111111,1255.1
ep74_best,6018,1,653.5244444444445,645.5,1240.1,1.0,0.4211590296495957,1541.868888888889,2281.2,685.0711111111111,1255.1
ep74_best,6018,2,668.5733333333334,658.5,1229.3000000000002,1.0,0.4277580071174377,1541.868888888889,2281.2,685.0711111111111,1255.1
ep74_best,6019,0,607.8422222222222,573.5,1183.3000000000002,1.0,0.48546255506607927,642.3533333333334,1257.3000000000002,580.58,1082.1
ep74_best,6019,1,621.44,595.0,1159.2,1.0,0.5068714632174616,642.3533333333334,1257.3000000000002,580.58,1082.1
ep74_best,6019,2,603.1777777777778,595.5,1122.6000000000001,1.0,0.5064822817631807,642.3533333333334,1257.3000000000002,580.58,1082.1
ep74_best,6020,0,422.37111111111113,398.5,792.0,1.0,0.3905996758508914,611.4933333333333,1183.1,392.9977777777778,734.6000000000001
ep74_best,6020,1,405.8488888888889,355.5,765.4000000000001,1.0,0.41424196018376724,611.4933333333333,1183.1,392.9977777777778,734.6000000000001
ep74_best,6020,2,393.08,349.5,765.2,1.0,0.41842310694769713,611.4933333333333,1183.1,392.9977777777778,734.6000000000001
ep74_best,6021,0,296.32666666666665,276.0,570.2,1.0,0.33304498269896193,292.2266666666667,499.1,312.47333333333336,588.2
ep74_best,6021,1,317.8622222222222,304.0,586.8000000000002,1.0,0.3533834586466165,292.2266666666667,499.1,312.47333333333336,588.2
ep74_best,6021,2,312.96666666666664,289.5,593.1,1.0,0.33075601374570446,292.2266666666667,499.1,312.47333333333336,588.2
ep74_best,6022,0,778.9955555555556,811.5,1343.5,1.0,0.49872611464968153,1386.8066666666666,2155.6000000000004,594.0533333333333,1078.2
ep74_best,6022,1,828.3977777777778,877.0,1398.3000000000002,1.0,0.4893203883495146,1386.8066666666666,2155.6000000000004,594.0533333333333,1078.2
ep74_best,6022,2,1120.0733333333333,1196.0,1739.2,1.0,0.5360561582641991,1386.8066666666666,2155.6000000000004,594.0533333333333,1078.2
ep74_best,6023,0,394.1711111111111,357.5,742.2,1.0,0.33633633633633636,422.7688888888889,914.2,371.97777777777776,676.2
ep74_best,6023,1,358.2711111111111,333.5,652.1,1.0,0.32799389778794813,422.7688888888889,914.2,371.97777777777776,676.2
ep74_best,6023,2,377.4488888888889,369.0,712.2,1.0,0.31913303437967117,422.7688888888889,914.2,371.97777777777776,676.2
ep74_best,6024,0,283.0022222222222,263.0,526.3000000000001,1.0,0.41032608695652173,255.26666666666668,439.5000000000001,263.7,462.20000000000005
ep74_best,6024,1,282.1044444444444,271.0,509.0,1.0,0.37604456824512533,255.26666666666668,439.5000000000001,263.7,462.20000000000005
